PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",47-5021,"Earth Drillers, Except Oil and Gas",detailed,40,47,0.043,0.3,25.91,53900,13.5,14.51,17.85,25.08,29.44,42.73,30170,37120,52170,61240,88870,,
TX,12420,"Austin-Round Rock, TX",47-5071,"Roustabouts, Oil and Gas",detailed,290,36.4,0.307,0.59,16.89,35140,9.3,10.46,11.79,15.19,18.29,28.37,21750,24530,31600,38040,59000,,
TX,12420,"Austin-Round Rock, TX",49-0000,"Installation, Maintenance, and Repair Occupations",major,31130,3.3,33.513,0.86,19.96,41510,1.3,10.97,14.05,18.41,24.2,30.78,22820,29230,38290,50340,64030,,
TX,12420,"Austin-Round Rock, TX",49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,2430,6.6,2.62,0.81,30.2,62820,2.2,18.44,22.42,28.49,36.11,45.34,38340,46620,59250,75100,94310,,
TX,12420,"Austin-Round Rock, TX",49-2011,"Computer, Automated Teller, and Office Machine Repairers",detailed,1740,25.2,1.877,2.44,14.9,30990,3,10.02,11.38,13.8,17.31,22.18,20840,23660,28700,36000,46130,,
TX,12420,"Austin-Round Rock, TX",49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detailed,100,26.9,0.11,1.07,16.95,35260,6.8,10.37,13.14,16.08,18.7,26.46,21570,27340,33440,38900,55040,,
TX,12420,"Austin-Round Rock, TX",49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed,1960,24.4,2.112,1.33,22.18,46140,3.2,14.71,17.33,21.36,26.44,32.66,30600,36050,44440,55000,67940,,
TX,12420,"Austin-Round Rock, TX",49-2092,"Electric Motor, Power Tool, and Related Repairers",detailed,**,**,**,**,15.51,32270,7.4,12.56,13.2,14.26,16.42,21.64,26120,27450,29670,34140,45010,,
TX,12420,"Austin-Round Rock, TX",49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed,100,8.6,0.103,1,22.1,45960,3.5,17.61,19.92,21.98,23.87,27.76,36630,41440,45730,49650,57740,,
TX,12420,"Austin-Round Rock, TX",49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,390,29.3,0.416,0.83,20.34,42310,4.1,12.76,15.1,18.53,24.88,30.92,26550,31410,38540,51750,64310,,
TX,12420,"Austin-Round Rock, TX",49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,140,17.2,0.149,0.89,31.09,64660,7.4,18.13,24,30.62,39.67,45.42,37710,49920,63690,82520,94470,,
TX,12420,"Austin-Round Rock, TX",49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed,60,31.9,0.07,0.77,15.18,31570,2.2,12.19,13.04,14.46,17.23,19.38,25350,27120,30070,35830,40300,,
TX,12420,"Austin-Round Rock, TX",49-2097,Electronic Home Entertainment Equipment Installers and Repairers,detailed,**,**,**,**,17.11,35590,13.6,9.58,12.36,15.35,24.65,28.26,19920,25710,31930,51270,58780,,
TX,12420,"Austin-Round Rock, TX",49-2098,Security and Fire Alarm Systems Installers,detailed,470,16.7,0.501,1.07,22.45,46690,9,14.29,17.04,20.95,25.27,32.98,29720,35450,43570,52560,68600,,
