area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4011,Brokerage Clerks,detailed,470,14.4,0.435,1.33,,24.3,50540,3.1,19.92,21.4,23.74,26.83,30.5,41430,44500,49380,55810,63440,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4021,Correspondence Clerks,detailed,**,**,**,**,,17.66,36720,5.6,10.82,13.54,18.01,21.5,23.61,22500,28170,37470,44730,49100,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4031,"Court, Municipal, and License Clerks",detailed,1330,10.2,1.237,1.18,,20.09,41790,1.6,15.63,17.39,19.56,22.68,24.84,32510,36160,40680,47180,51660,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4041,"Credit Authorizers, Checkers, and Clerks",detailed,220,42.7,0.202,1.11,,20.69,43040,12.4,8.57,14.52,19.95,27.32,33.25,17820,30200,41500,56820,69160,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4051,Customer Service Representatives,detailed,27460,6.7,25.58,1.29,,16.69,34710,1.1,11.04,13.22,15.86,19.11,23.71,22970,27500,32980,39750,49330,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4061,"Eligibility Interviewers, Government Programs",detailed,1660,5.5,1.548,1.63,,21.85,45440,5.8,15.48,16.78,22.27,26,28.96,32190,34910,46320,54070,60240,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4071,File Clerks,detailed,800,14.6,0.747,1.07,,15.05,31300,3.7,9.39,10.95,14.17,17.98,23.04,19540,22770,29480,37390,47920,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,2050,8,1.914,1.05,,11.99,24950,3.3,8.62,10.13,12.36,13.86,14.82,17920,21070,25720,28840,30820,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4111,"Interviewers, Except Eligibility and Loan",detailed,840,27.5,0.782,0.61,,16.67,34680,2.7,11.11,13.29,16.57,19.42,22.87,23100,27650,34470,40390,47560,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4121,"Library Assistants, Clerical",detailed,220,16.3,0.208,0.36,,14.16,29460,2.5,9.58,11.75,14.21,16.75,18.6,19930,24440,29550,34840,38680,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4131,Loan Interviewers and Clerks,detailed,1510,16.7,1.405,0.99,,22.18,46140,3.6,13.35,16.93,21.39,26.33,32.09,27760,35220,44500,54770,66740,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4141,New Accounts Clerks,detailed,350,29.8,0.322,1.09,,18.64,38780,4.5,13.06,14.9,18.93,22.13,24.21,27160,30980,39370,46020,50370,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4151,Order Clerks,detailed,1070,17,0.995,1.07,,17.36,36100,3,12.24,13.59,15.98,20.72,24.72,25450,28270,33230,43100,51420,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,1120,9,1.048,1.31,,20.77,43200,1.2,15.62,17.74,20.67,23.72,27.22,32500,36890,43000,49340,56620,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4171,Receptionists and Information Clerks,detailed,6310,7.4,5.881,0.82,,14.34,29830,2,9.38,11.59,13.97,17.05,19.41,19510,24110,29060,35470,40380,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,830,47.8,0.77,0.92,,21.84,45430,5,13.2,15.76,19.07,29.31,34.08,27450,32790,39660,60960,70880,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-4199,"Information and Record Clerks, All Other",detailed,2070,8.3,1.932,1.84,,16.39,34090,5.7,10.13,12.41,15.09,18.87,24.15,21070,25810,31380,39240,50220,,
