PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock-San Marcos, TX",31-2022,Physical Therapist Aides,detailed,290,22.2,0.359,0.96,11.12,23140,4.8,7.84,8.55,10.36,13.11,14.46,16300,17790,21550,27270,30090,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-9011,Massage Therapists,detailed,820,24,1.01,1.85,19.97,41540,6,11.58,14.74,18.58,22.21,33.62,24080,30670,38640,46200,69920,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-9091,Dental Assistants,detailed,1720,15.6,2.112,0.92,18.06,37570,3.9,13.19,15.54,17.82,20.91,22.96,27430,32320,37060,43490,47750,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-9092,Medical Assistants,detailed,3750,6.2,4.617,1.09,14.17,29470,2,10.6,12.3,13.89,16.19,18.04,22050,25590,28900,33680,37520,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-9093,Medical Equipment Preparers,detailed,260,17.6,0.322,0.83,15.47,32170,3.7,10.23,11.33,13.5,17.29,22.96,21270,23560,28090,35970,47750,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-9094,Medical Transcriptionists,detailed,180,15.6,0.225,0.39,18.64,38770,8.6,12.54,14.41,19.18,21.81,23.78,26090,29980,39890,45360,49470,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-9095,Pharmacy Aides,detailed,240,20.4,0.292,0.89,12.24,25450,2.5,9.59,10.39,11.82,13.94,16.11,19940,21600,24580,29000,33510,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,400,18.1,0.496,0.9,9.5,19760,3.3,7.7,8.2,9.02,10.71,12.9,16020,17050,18750,22270,26830,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-9097,Phlebotomists,detailed,340,19.8,0.42,0.55,14.72,30620,4.1,10.92,12.58,14.66,16.94,18.29,22720,26170,30490,35240,38040,,
TX,12420,"Austin-Round Rock-San Marcos, TX",31-9099,"Healthcare Support Workers, All Other",detailed,150,16.4,0.185,0.23,16.71,34760,2.9,11.93,13.88,16.56,18.67,22.66,24810,28860,34430,38830,47140,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-0000,Protective Service Occupations,major,18010,4.7,22.158,0.9,20.39,42410,8.6,9.22,11.58,16.82,27.51,35.91,19180,24080,34980,57220,74690,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-1011,First-Line Supervisors of Correctional Officers,detailed,210,18,0.26,0.76,25.55,53150,8.3,16.54,19.02,21.85,31.52,41.72,34400,39570,45450,65550,86780,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-1012,First-Line Supervisors of Police and Detectives,detailed,450,3.1,0.551,0.72,45.02,93650,5.9,29.25,34.97,42.08,57.95,67.79,60850,72730,87520,120540,141010,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,270,15.1,0.336,0.72,37.03,77020,6.2,21.26,30.08,37.61,43.53,52.57,44220,62570,78230,90550,109350,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-1099,"First-Line Supervisors of Protective Service Workers, All Other",detailed,230,12.3,0.282,0.6,22.49,46770,3.5,11.8,16.33,20.82,27.7,36.69,24540,33960,43310,57620,76310,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-2011,Firefighters,detailed,1860,9.6,2.284,1,23.26,48380,7.3,12.12,17.88,23.03,28.71,33.98,25220,37200,47900,59710,70680,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-3011,Bailiffs,detailed,50,2.3,0.058,0.46,17.52,36440,2.5,12.39,13.63,16.42,20.97,25.61,25760,28350,34150,43630,53270,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-3012,Correctional Officers and Jailers,detailed,1880,12.7,2.314,0.69,17.69,36800,6.1,12.48,13.9,16.64,20.76,25.39,25960,28910,34610,43180,52810,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-3021,Detectives and Criminal Investigators,detailed,1330,0.3,1.633,1.95,31.13,64760,8.4,15.99,20.22,27.59,41.95,51.35,33260,42050,57380,87260,106810,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-3041,Parking Enforcement Workers,detailed,90,3.1,0.109,1.55,14.41,29970,2.6,11.61,12.37,13.64,16.18,20.08,24150,25730,28370,33660,41770,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,3730,4.3,4.588,0.95,29.29,60920,4.2,19.72,23.82,29.4,34.11,39.89,41020,49550,61160,70950,82970,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-9011,Animal Control Workers,detailed,60,10.8,0.079,0.74,14.42,29990,2,11.3,12.41,13.99,16.41,18.19,23490,25820,29090,34120,37840,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-9021,Private Detectives and Investigators,detailed,130,44.3,0.158,0.88,*,*,*,*,*,*,*,*,*,*,*,*,*,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-9032,Security Guards,detailed,5970,9.9,7.348,0.91,12.09,25150,3.2,8.44,9.79,11.45,13.58,16.04,17560,20360,23820,28250,33360,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-9091,Crossing Guards,detailed,240,19,0.295,0.55,10.75,22360,2.9,7.91,8.66,10.84,13.07,14.11,16450,18010,22550,27180,29350,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,630,32,0.78,0.81,9.08,18890,2.8,7.62,8.08,8.84,10.12,11.49,15850,16800,18380,21050,23900,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-9093,Transportation Security Screeners,detailed,270,0,0.336,0.93,16.85,35050,*,14,14.01,16.56,18.83,20.17,29130,29140,34450,39170,41950,,
TX,12420,"Austin-Round Rock-San Marcos, TX",33-9099,"Protective Service Workers, All Other",detailed,570,1.3,0.7,1.12,10.93,22730,4.9,7.74,8.35,9.45,11.45,17.04,16090,17380,19650,23810,35450,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-0000,Food Preparation and Serving Related Occupations,major,82030,1.3,100.942,1.14,9.99,20780,1.6,7.69,8.18,9,10.83,13.96,16000,17020,18710,22540,29030,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-1011,Chefs and Head Cooks,detailed,**,**,**,**,20.39,42410,8.1,12.13,13.34,18.62,22.65,34.02,25220,27750,38720,47110,70770,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detailed,7860,22.9,9.672,1.54,15.28,31780,3.1,9.61,10.75,13.44,19.56,22.75,19990,22360,27950,40680,47310,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-2011,"Cooks, Fast Food",detailed,3000,25.4,3.696,0.95,8.66,18010,2.7,7.62,8.03,8.71,9.47,10.84,15860,16710,18120,19690,22550,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-2012,"Cooks, Institution and Cafeteria",detailed,1770,8.7,2.179,0.72,10.99,22860,2.1,8.24,9.54,10.8,12.46,14.2,17150,19830,22460,25920,29540,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-2014,"Cooks, Restaurant",detailed,6110,9.1,7.523,0.98,11.16,23210,5.9,7.98,8.89,10.34,12.02,14.44,16590,18500,21510,24990,30040,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-2015,"Cooks, Short Order",detailed,1580,38,1.947,1.56,9.57,19910,2.4,7.82,8.44,9.48,10.8,11.63,16260,17550,19730,22460,24180,,
